Month,Business Analyst: (United States)
2004-01,41
2004-02,40
2004-03,45
2004-04,40
2004-05,45
2004-06,49
2004-07,50
2004-08,43
2004-09,48
2004-10,43
2004-11,39
2004-12,35
2005-01,36
2005-02,49
2005-03,48
2005-04,60
2005-05,38
2005-06,64
2005-07,61
2005-08,58
2005-09,39
2005-10,53
2005-11,45
2005-12,43
2006-01,53
2006-02,49
2006-03,57
2006-04,50
2006-05,53
2006-06,62
2006-07,52
2006-08,50
2006-09,46
2006-10,58
2006-11,52
2006-12,36
2007-01,55
2007-02,57
2007-03,57
2007-04,58
2007-05,54
2007-06,60
2007-07,61
2007-08,55
2007-09,63
2007-10,66
2007-11,50
2007-12,56
2008-01,61
2008-02,65
2008-03,67
2008-04,63
2008-05,57
2008-06,58
2008-07,64
2008-08,62
2008-09,64
2008-10,57
2008-11,53
2008-12,53
2009-01,58
2009-02,58
2009-03,55
2009-04,54
2009-05,46
2009-06,60
2009-07,60
2009-08,57
2009-09,59
2009-10,59
2009-11,49
2009-12,51
2010-01,59
2010-02,62
2010-03,63
2010-04,61
2010-05,60
2010-06,64
2010-07,57
2010-08,60
2010-09,61
2010-10,62
2010-11,58
2010-12,49
2011-01,63
2011-02,62
2011-03,68
2011-04,61
2011-05,58
2011-06,63
2011-07,63
2011-08,61
2011-09,58
2011-10,63
2011-11,61
2011-12,48
2012-01,67
2012-02,60
2012-03,64
2012-04,68
2012-05,64
2012-06,64
2012-07,64
2012-08,65
2012-09,67
2012-10,67
2012-11,57
2012-12,49
2013-01,71
2013-02,71
2013-03,70
2013-04,70
2013-05,66
2013-06,64
2013-07,74
2013-08,71
2013-09,74
2013-10,73
2013-11,62
2013-12,51
2014-01,79
2014-02,77
2014-03,75
2014-04,75
2014-05,72
2014-06,72
2014-07,81
2014-08,76
2014-09,76
2014-10,75
2014-11,70
2014-12,60
2015-01,81
2015-02,87
2015-03,86
2015-04,83
2015-05,74
2015-06,87
2015-07,83
2015-08,83
2015-09,89
2015-10,88
2015-11,75
2015-12,70
2016-01,76
2016-02,82
2016-03,83
2016-04,76
2016-05,79
2016-06,82
2016-07,73
2016-08,79
2016-09,78
2016-10,77
2016-11,75
2016-12,65
2017-01,85
2017-02,89
2017-03,89
2017-04,82
2017-05,83
2017-06,88
2017-07,80
2017-08,86
2017-09,87
2017-10,93
2017-11,77
2017-12,65
2018-01,84
2018-02,85
2018-03,87
2018-04,85
2018-05,84
2018-06,86
2018-07,85
2018-08,91
2018-09,89
2018-10,88
2018-11,72
2018-12,66
2019-01,88
2019-02,89
2019-03,84
2019-04,87
2019-05,82
2019-06,87
2019-07,82
2019-08,86
2019-09,86
2019-10,81
2019-11,73
2019-12,67
2020-01,86
2020-02,85
2020-03,69
2020-04,61
2020-05,65
2020-06,70
2020-07,67
2020-08,70
2020-09,74
2020-10,69
2020-11,54
2020-12,57
2021-01,66
2021-02,70
2021-03,67
2021-04,70
2021-05,69
2021-06,73
2021-07,70
2021-08,75
2021-09,77
2021-10,77
2021-11,75
2021-12,64
2022-01,94
2022-02,99
2022-03,100
2022-04,96
2022-05,84
2022-06,89
2022-07,90
2022-08,95
2022-09,92
2022-10,92
2022-11,80
2022-12,70
2023-01,89
2023-02,90
2023-03,75
2023-04,80
2023-05,86
